WMU,Animal,Tag Type,Season Start,Season End
102,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
102,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
102,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
104,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
104,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
104,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
106,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
106,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
106,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
108,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
108,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
108,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
110,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
110,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
110,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
112,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
112,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
112,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
116,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
116,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
116,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
118,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
118,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
118,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
119,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
119,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
119,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
124,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
124,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
124,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
128,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
128,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
128,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
130,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
130,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
130,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
132,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
132,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
132,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
134,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
134,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
134,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
136,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
136,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
136,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
138,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
138,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
138,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
140,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
140,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
140,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
142,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
142,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
142,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
144,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
144,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
144,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
148,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
148,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
148,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
150,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
150,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
150,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
151,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
151,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
151,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
152,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
152,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
152,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
156,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
156,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
156,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
158,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
158,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
158,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
160,White-tailed deer,Antlered (Archery),Sep 1,Nov 3
160,White-tailed deer,Antlered (General),Nov 4,"N7, N11 - N14,"
160,White-tailed deer,Antlered (General),Nov 18,"N21, N25 - N28"
162,White-tailed deer,Antlered (Archery),Sep 1,Oct 31
162,White-tailed deer,Antlered (General),Nov 1,Nov 30
163,White-tailed deer,Antlered (Archery),Sep 1,Oct 31
163,White-tailed deer,Antlered (General),Nov 1,Nov 30
164,White-tailed deer,Antlered (Archery),Sep 1,Oct 31
164,White-tailed deer,Antlered (General),Nov 1,Nov 30
166,White-tailed deer,Antlered (Archery),Sep 1,Oct 31
166,White-tailed deer,Antlered (General),Nov 1,Nov 30
102,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
102,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
102,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
104,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
104,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
104,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
106,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
106,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
106,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
108,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
108,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
108,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
110,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
110,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
110,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
112,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
112,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
112,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
116,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
116,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
116,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
118,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
118,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
118,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
119,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
119,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
119,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
124,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
124,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
124,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
128,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
128,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
128,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
130,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
130,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
130,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
132,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
132,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
132,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
134,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
134,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
134,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
136,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
136,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
136,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
138,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
138,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
138,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
140,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
140,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
140,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
142,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
142,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
142,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
144,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
144,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
144,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
148,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
148,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
148,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
150,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
150,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
150,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
151,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
151,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
151,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
152,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
152,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
152,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
156,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
156,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
156,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
158,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
158,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
158,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
160,White-tailed deer,Antlerless (Archery),Sep 1,Nov 3
160,White-tailed deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
160,White-tailed deer,Antlerless (General),Nov 18,"N21, N25 - N28"
162,White-tailed deer,Antlerless (Archery),Sep 1,Oct 31
162,White-tailed deer,Antlerless (General),Nov 1,Nov 30
163,White-tailed deer,Antlerless (Archery),Sep 1,Oct 31
163,White-tailed deer,Antlerless (General),Nov 1,Nov 30
164,White-tailed deer,Antlerless (Archery),Sep 1,Oct 31
164,White-tailed deer,Antlerless (General),Nov 1,Nov 30
166,White-tailed deer,Antlerless (Archery),Sep 1,Oct 31
166,White-tailed deer,Antlerless (General),Nov 1,Nov 30
102,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 3
102,Mule deer,Antlered and antlerless (General),Nov 4,"N7, N11 - N14,"
102,Mule deer,Antlered and antlerless (General),Nov 18,"N21, N25 - N28"
116,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 3
116,Mule deer,Antlered and antlerless (General),Nov 4,"N7, N11 - N14,"
116,Mule deer,Antlered and antlerless (General),Nov 18,"N21, N25 - N28"
118,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 3
118,Mule deer,Antlered and antlerless (General),Nov 4,"N7, N11 - N14,"
118,Mule deer,Antlered and antlerless (General),Nov 18,"N21, N25 - N28"
119,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 3
